data_extracao,ano,mes,cod_orgao,nome_orgao,cod_categoria,nome_categoria,cod_origem,nome_origem,cod_especie,nome_especie,cod_desdobramento1,nome_desdobramento1,cod_tipo,nome_tipo,valor_arrecadado,valor_orcado
2019-09-13 10:14:18,2018,2,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1113,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11130311,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,136631.61,0.00
2019-09-13 10:14:18,2018,8,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1113,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11130311,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,150241.56,0.00
2019-09-13 10:14:18,2018,12,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1113,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11130311,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,295878.62,0.00
2019-09-13 10:14:18,2018,2,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1113,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11130311,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,0.00,0.00
2019-09-13 10:14:18,2018,6,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1113,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11130311,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,0.00,0.00
2019-09-13 10:14:18,2018,12,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1113,IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11130311,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,0.00,0.00
2019-09-13 10:14:18,2018,2,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1118,"IMPOSTOS ESPECÍFICOS DE ESTADOS, DF E MUNICÍPIOS",11180113,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DÍVIDA ATIVA,3238564.01,0.00
2019-09-13 10:14:18,2018,6,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1118,"IMPOSTOS ESPECÍFICOS DE ESTADOS, DF E MUNICÍPIOS",11180113,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DÍVIDA ATIVA,5454393.44,0.00
2019-09-13 10:14:18,2018,8,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1118,"IMPOSTOS ESPECÍFICOS DE ESTADOS, DF E MUNICÍPIOS",11180114,IPTU - DÍV. AT. - MULTAS E JUROS,479092.84,0.00
2019-09-13 10:14:18,2018,12,1100,ADMINISTRAÇÃO CENTRALIZADA,1,RECEITAS CORRENTES,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",111,IMPOSTOS,1118,"IMPOSTOS ESPECÍFICOS DE ESTADOS, DF E MUNICÍPIOS",11180114,IPTU - DÍV. AT. - MULTAS E JUROS,431557.21,0.00
